源文本	hel模型	liam模型
Three (3) armed men were observed IVO B82(2).	观察到三(3)名武装人员IVO B82(2)。	观察到三(3)名武装人员,国际志愿者组织B82(2)。
Membership in 2015	2015年成员	2015年成员
The vast majority of stopover tourists continue to be accommodated at resorts on Providenciales.	绝大多数中途停留游客继续住在普罗维登夏莱斯的度假胜地。	绝大多数中途停留游客继续住在普罗维登夏莱斯度假胜地。
Land area: 948.2 km².	土地面积:948.2平方公里。	土地面积:948.2平方公里。
61. Complaint by Cuba (17 September 1973; 18 September 1973).	61. 古巴的控诉(1973年9月17日;1973年9月18日)。	61. 古巴的控诉(1973年9月17日;1973年9月18日)。
29. Briefing by the Chairperson-in-Office of the Organization for Security and Cooperation in Europe (21 January 2001; 24 February 2015).	29. 欧洲安全与合作组织轮值主席通报情况(2001年1月21日;2015年2月24日)。	29. 欧洲安全与合作组织轮值主席通报情况(2001年1月21日;2015年2月24日)。
1. Opening of the thirty-seventh session.	1. 第三十七届会议开幕。	1. 第三十七届会议开幕。
Such special accreditation will be limited solely to the Conference and its preparatory process.	这种特别认可仅限于会议及其筹备进程。	此类特别认可仅限于会议及其筹备进程。
Organizations accredited to Habitat II and the summit to be held in September 2015 for the adoption of the post-2015 development agenda, whose work is relevant to the subject of the Conference and that wish to participate in the Conference or in sessions of its Preparatory Committee, should pre-register on the website of the Conference (www.habitat3.org).	经认可参加生境二和将于2015年9月为通过2015年后发展议程而举行的首脑会议的组织,其工作与会议主题相关,希望参加人居二会议或其筹备委员会届会的组织,应在人居二网站(www.habitatat3.org)上预先登记。	获认可参加人居二和2015年9月通过2015年后发展议程首脑会议的组织,其工作与人居会议主题相关,希望参加人居会议或其筹备委员会届会的组织,应在人居会议网站(www.habitat3.org)上预先登记。
Recalling the creation, pursuant to paragraph 26 of resolution 1874 (2009), of a Panel of Experts, under the direction of the Committee, to carry out the tasks provided for by that paragraph,	回顾根据第1874(2009)号决议第26段设立了一个专家小组,在委员会的指导下执行该段规定的任务,	回顾根据第1874(2009)号决议第26段设立了一个专家小组,在委员会的指导下,执行该段规定的任务,
11. Requests the Secretary-General, in his capacity as chairman of the United Nations Chief Executives Board for Coordination, to invite heads of United Nations entities to consider the possible harmonization and sharing of services as well as the related costs of information and communications technology, as appropriate, in particular at field locations, and to report thereon in the context of future progress reports;	11. 请秘书长以联合国系统行政首长协调理事会主席的身份,邀请联合国各实体首长考虑是否可能酌情统一和分享服务以及信息和通信技术的相关费用,特别是在外地地点,并在今后的进展报告中报告有关情况;	11. 请秘书长以联合国系统行政首长协调理事会主席的身份邀请联合国各实体首长考虑可否酌情统一和共享服务以及信息和通信技术的相关费用,特别是在外地地点,并在今后的进展报告中报告有关情况;
The following objects achieved orbit since the last report but were no longer in orbit as at 2359Z on 31 July 2013:	上次报告后进入轨道但截至2013年7月31日23时59分已不在轨道上的物体:	上次报告后进入轨道但截至2013年7月31日23时59分已不在轨道上的物体:
Reaffirming its concern over the negative effect of ongoing violence in Darfur on the stability of Sudan as a whole, as well as the region, welcoming the ongoing good relations between Sudan and Chad, and encouraging Sudan and the countries of the region to continue to cooperate in order to achieve peace and stability in Darfur and the wider region,	重申关切达尔富尔持续发生的暴力行为对整个苏丹以及整个区域的稳定产生不利影响,欢迎苏丹和乍得之间持续保持良好关系,鼓励苏丹和该区域各国继续合作,以便在达尔富尔和更广泛区域实现和平与稳定,	重申关切达尔富尔持续不断的暴力对整个苏丹以及整个区域的稳定产生不利影响,欢迎苏丹和乍得之间持续保持良好关系,鼓励苏丹和该区域各国继续合作,以便在达尔富尔和更广泛区域实现和平与稳定,
1. The Special Committee recommends that the General Assembly:	1. 特别委员会建议大会:	1. 特别委员会建议大会:
In the case of other modes of data storage, such as by individuals in a peer-to-peer computer network, data can be difficult to identify in the first place and are often stored in an encrypted manner.	就其他数据存储模式而言,例如个人在同侪计算机网络中的数据存储模式而言,数据首先可能难以识别,而且往往以加密方式存储。	就其他数据存储模式而言,例如个人在同行计算机网络中存储的数据,首先可能难以识别,通常以加密方式存储。
Special scholarships are also made available to those students wishing to pursue careers in science.	还向希望从事科学职业的学生提供特别奖学金。	还向希望从事科学专业的学生提供特别奖学金。
In 2012, as part of his continuing effort to promote equality between the sexes, the President of the Republic, His Excellency Ali Bongo Ondimba, mandated a 30% representation of women in decision-making bodies.	2012年,作为促进性别平等的持续努力的一部分,共和国总统阿里·邦戈·翁丁巴阁下授权妇女在决策机构中拥有30%的代表性。	2012年,共和国总统阿里·邦戈·翁丁巴阁下在继续努力促进男女平等的过程中,授权决策机构中妇女占30%。
Advocacy programmes and gender based review on these bills which are vital for the proper functioning of the justice system will be conducted in 2015.	这些法案对司法系统的正常运作至关重要,2015年将对这些法案进行倡导方案和基于性别的审查,这些法案对司法系统的正常运作至关重要。	2015年将针对这些法案开展宣传方案和基于性别的审查,这些法案对于司法系统的正常运作至关重要。
Indiscriminate firing of heavy weaponry by all sides in densely populated areas has resulted in significant civilian casualties.	所有各方在人口稠密地区不分青红皂白地发射重武器,造成大量平民伤亡。	所有各方在人口稠密地区不分青红皂白地发射重武器,造成大量平民伤亡。
45. However, readiness and the ability to scale up should not entail resuming previous activities and returning to business as usual.	45. 然而,准备就绪和扩大规模的能力不应导致恢复以前的活动,恢复一切照旧。	45. 然而,准备就绪和扩大规模的能力不应要求恢复以前的活动,恢复一切照旧。
Welcoming the intention of the Secretary-General to keep all peacekeeping operations under close review to ensure efficiency and effectiveness, including a review of UNFICYP when appropriate, and noting the importance of contingency planning in relation to the settlement, including recommendations as appropriate for further adjustments to UNFICYP's mandate, force levels and other resources and concept of operations, taking into account developments on the ground and the views of the parties,	欢迎秘书长打算密切审视所有维持和平行动,以确保效率和效力,包括酌情审查联塞部队,并指出必须进行与解决方案有关的应急规划,包括酌情提出建议,进一步调整联塞部队的任务、兵力和其他资源及行动构想,同时考虑到实地事态发展和各方的意见,	欢迎秘书长打算密切审视所有维持和平行动,以确保效率和效力,包括酌情审查联塞部队,并指出必须进行与解决方案有关的应急规划,包括酌情提出建议,进一步调整联塞部队的任务、兵力和其他资源及行动构想,同时考虑到实地事态发展和各方的意见,
While there might be some scope for the United Nations to partner with the corporate sector either at the global level or within countries, it was imperative that all partnership agreements be subject to strict mandatory guidelines and to regular reviews.	虽然联合国在全球一级或国家内部与公司部门建立伙伴关系可能有些余地,但所有伙伴关系协定都必须遵守严格的强制性准则和定期审查。	在全球一级或国家内部,联合国也许有一定的余地与公司部门建立伙伴关系,但所有伙伴关系协定必须遵守严格的强制性准则和定期审查。
While that idea was accepted by one delegation in the room, it was rejected by another.	虽然一个代表团在会议室里接受了这个想法,但另一个代表团拒绝了这个想法。	在场的一个代表团虽然接受了这一想法,但遭到另一个代表团的拒绝。
10. The view was presented that the Special Committee should consider no new proposals that might entail amendments to the Charter without the express mandate of the General Assembly; such proposals might be considered only in the overall context of United Nations reform and with caution.	10. 有人认为,如果大会没有明确授权,特别委员会就不应审议任何可能涉及修正《宪章》的新提案;只有在联合国改革的总体范围内,才能谨慎地审议这些提案。	10. 有一种意见认为,特别委员会在没有大会明确授权的情况下,不应审议任何可能涉及修正《宪章》的新提案;只有在联合国改革的总体背景下,才能审慎地审议这些提案。
A. Working methods of the Special Committee	A. 特别委员会的工作方法	A. 特别委员会的工作方法
Security Council mission to Africa: Central African Republic, African Union and Burundi	安全理事会非洲访问团:中非共和国、非洲联盟和布隆迪	安全理事会非洲访问团:中非共和国、非洲联盟和布隆迪
8. Requests the Secretary-General to continue to ensure the full implementation of the accepted recommendations of the Office, including those relating to cost avoidance, recovery of overpayments, efficiency gains and other improvements, in a prompt and timely manner, and to provide detailed justifications in cases in which recommendations of the Office are not accepted;	8. 请秘书长继续确保迅速、及时全面执行监督厅已获接受的建议,包括关于避免费用、追回多付款、提高效率和其他改进的建议,并在监督厅的建议未获接受时提供详细理由;	8. 请秘书长继续确保迅速、及时全面执行监督厅已获接受的建议,包括关于避免费用、追回多付款项、提高效率和其他改进的建议,并在监督厅的建议未获接受时提出详细理由;
2. Takes note of paragraph of 32 of the report of the Advisory Committee;	2. 表示注意到咨询委员会报告 第32段;	2. 表示注意到咨询委员会报告 第32段;
Chadian women have now acquired a status they did not enjoy a few years ago, despite certain forms of discrimination that persist owing to the weight of sociocultural tradition, the erroneous interpretation of religious teachings and resistance on the part of men.	尽管由于社会文化传统的影响、对宗教教义的错误解释以及男子的抵制,某些形式的歧视依然存在,乍得妇女现在获得了几年前她们没有享有的地位。	乍得妇女现已获得几年前没有享有的地位,尽管由于社会文化传统的份量、对宗教教义的错误解释和男子的抵制,某些形式的歧视依然存在。
Information on the outcomes of those consultations, including their possible impact on the proposed memorandum of understanding between UNEP and the Conference of the Parties to the Basel Convention, was provided to the Bureau intersessionally.	在闭会期间向主席团提供了关于这些磋商结果的信息,包括磋商结果可能对环境署与巴塞尔公约缔约方大会之间拟议的谅解备忘录产生的影响。	闭会期间向主席团提供了关于这些磋商结果的信息,包括磋商结果可能对环境署与巴塞尔公约缔约方大会之间拟议谅解备忘录产生的影响。
Vice-Chairs:	副主席:	副主席:
We also note reports that adolescent childbearing remains high, and this brings increased health risks for girls (as well as missed education and work opportunities).	我们还注意到有报告说,少女生育率仍然很高,这增加了女孩的健康风险(以及错过教育和工作机会)。	我们还注意到少女生育率仍然很高的报告,这增加了女孩的健康风险(以及错失教育和工作机会)。
Likewise, risky sexual behaviour among adolescents and young adults also remains high, necessitating further development of quality programs of integral sexual education, working with families and communities for support.	同样,青少年和青年成年人中的风险性行为也仍然很高,需要进一步制定高质量的综合性教育方案,与家庭和社区合作寻求支持。	同样,青少年和青年成年人中的危险性行为也仍然很高,需要进一步制定高质量的综合性教育方案,与家庭和社区合作寻求支持。
Portugal has established safeguards agreements with IAEA, in the context of the Non-Proliferation Treaty, and has an additional protocol (action 24).	葡萄牙在《不扩散条约》范围内与原子能机构订立了保障监督协定,并有一项附加议定书(行动24)。	葡萄牙在《不扩散条约》框架内与原子能机构订立了保障监督协定,并有一项附加议定书(行动24)。
19. Portugal has ratified the Convention on Nuclear Safety, the Convention on Early Notification of a Nuclear Accident, the Convention on Assistance in the Case of a Nuclear Accident or Radiological Emergency and the Convention on the Physical Protection of Nuclear Material and has also acceded to the Joint Convention on the Safety of Spent Fuel Management and on the Safety of Radioactive Waste Management (action 59).	19. 葡萄牙批准了《核安全公约》、《及早通报核事故公约》、《核事故或辐射紧急情况援助公约》和《核材料实物保护公约》,还加入了《废燃料管理安全和放射性废物管理安全联合公约》(行动59)。	19. 葡萄牙批准了《核安全公约》、《及早通报核事故公约》、《核事故或辐射紧急情况援助公约》和《核材料实物保护公约》,还加入了《废燃料管理安全和放射性废物管理安全联合公约》(行动59)。
It would be highly appreciated if you could circulate the present letter and its enclosure as a document of the sixty-ninth session of the General Assembly, under agenda item 19 (f).	请将本函及其附文作为大会第六十九届会议议程项目19(f)的文件分发为荷。	请将本函及其附文作为大会第六十九届会议议程项目19(f)的文件分发为荷。
Main Developments	主要事态发展	重大发展
17. The Unit participated in the annual meeting of the United Nations Evaluation Group in March 2014.	17. 联检组参加了2014年3月联合国评价小组年度会议。	17. 联检组参加了2014年3月举行的联合国评价小组年度会议。
115. The United Nations Development Assistance Framework is the strategic programme framework that describes the collective response of the United Nations system to national development priorities.	115. 联合国发展援助框架是战略方案框架,说明联合国系统对国家发展优先事项的集体反应。	115. 联合国发展援助框架是一个战略方案框架,说明了联合国系统对国家发展优先事项的集体反应。
Twenty-fourth session	第二十四届会议 第二十四届会议 第二十四届会议 第二十四届会议	第二十四届会议 第二十四届会议 第二十四届会议 第二十四届会议
Item 3 of the provisional agenda	临时议程项目3	临时议程项目3
In addition to the transfer of some posts from Nairobi to Mogadishu, operations will be enabled by third parties wherever possible, while UNSOA staff will focus on due diligence, control and contract performance.	除了将一些员额从内罗毕调到摩加迪沙外,只要有可能,第三方将促成业务,而非索特派团支助办工作人员将侧重于尽职调查、控制和合同执行情况。	除了将一些员额从内罗毕调到摩加迪沙外,只要有可能,第三方将促成业务,而非索特派团支助办工作人员将侧重于尽职调查、控制和合同履行。
Whether in Aleppo, Homs or elsewhere, the actions and atrocities undertaken by Assad's forces cost Syrian lives.	无论是在阿勒颇、霍姆斯或其他地方,阿萨德部队的行动和暴行都使叙利亚人丧生。	无论是在阿勒颇、霍姆斯还是其他地方,阿萨德部队的行动和暴行都夺去了叙利亚人的生命。
They are designed to impede the peace process and make the realization of a political transition, as required by the internationally endorsed Geneva communiqué, impossible.	其目的是阻碍和平进程,使国际认可的日内瓦公报所要求的政治过渡无法实现。	其目的是阻碍和平进程,使国际认可的日内瓦公报所要求的政治过渡不可能实现。
Within the Judicial Service, Ghana has established Financial and Economic Crime Courts.	在司法部门内,加纳设立了金融和经济犯罪法院。	加纳在司法部门内设立了金融和经济犯罪法院。
The Secretary-General states that preliminary planning and preparatory work could begin in April 2015, with construction work in the Secretariat Building to start in September 2015 for projected completion in late 2017 and construction work on the FF Building projected for completion in February 2018 (ibid., para. 66).	秘书长指出,初步规划和筹备工作可于2015年4月开始,秘书处大楼的施工工作将于2015年9月开始,预计于2017年底完工,FF大楼的施工工作预计将于2018年2月完工(同上,第66段)。	秘书长指出,初步规划和筹备工作可在2015年4月开始,秘书处大楼的施工工程将于2015年9月开始,预计将在2017年底完成,FF大楼的施工工程预计将在2018年2月完成(同上,第66段)。
Regional centres under the Basel Convention could provide experts on issues pertaining to management of hazardous wastes and other wastes under the Basel Convention.	《巴塞尔公约》下的区域中心可就《巴塞尔公约》下的危险废物和其他废物管理问题提供专家。	《巴塞尔公约》下的区域中心可就《巴塞尔公约》下的危险废物和其他废物管理问题提供专家。
7. The Commission is invited to take note of the outcomes of the workshop and to provide such advice and direction as may be deemed appropriate.	7. 请委员会注意到讲习班的成果,并酌情提出咨询意见和指导。	7. 请委员会注意讲习班的成果,并酌情提供建议和指导。
It was recommended that the Authority support collaboration among contractors to test their collector devices and to conduct pilot mining tests and environmental impact assessments.	建议管理局支持承包者之间的合作,以测试其收藏器械,并进行试验性采矿试验和环境影响评估。	有人建议管理局支持承包者之间开展协作,测试采集器,并进行试验性采矿试验和环境影响评估。
Guide to practice on reservations to treaties, 2011;	2011年《对条约的保留实践指南》;	对条约的保留实践指南,2011年;
Furthermore, the scheme has been updated to reflect the addition of the topic "Ownership and protection of wrecks beyond the limits of national maritime jurisdiction" to the long-term programme of work in 1996.	此外,对该计划进行了更新,以反映在1996年长期工作方案中增加了“国家海洋管辖范围以外沉船的拥有和保护”专题。	此外,该计划已经更新,以反映在1996年长期工作方案中增列“国家海洋管辖范围以外的沉船的拥有和保护”专题。
In order to gain access to basic energy resources, there is a need for stable, efficient and reliable energy transportation across countries, regions and continents.	为了获得基本能源资源,有必要在各国、各区域和各大洲之间进行稳定、高效和可靠的能源运输。	为了获得基本能源资源,需要在各国、各区域和各大洲之间实现稳定、高效和可靠的能源运输。
It has also required committing the force reserve to tasks in Bangui, thereby limiting the ability of MINUSCA to respond flexibly and rapidly to emerging crises throughout the country.	它还要求把后备部队用于班吉的任务,从而限制了中非稳定团对全国各地新出现的危机作出灵活和迅速反应的能力。	它还要求将后备部队投入班吉的任务,从而限制了中非稳定团灵活和迅速应对全国各地新出现的危机的能力。
By the aforementioned resolution, the Security Council decided that, as from 15 September 2014, MINUSCA would initially comprise up to 10,000 military personnel, including 240 military observers and 200 staff officers, and 1,800 police personnel, including 1,400 formed police unit personnel and 400 individual police officers, in addition to 20 corrections officers.	安全理事会在上述决议中决定,自2014年9月15日起,中非稳定团最初将包括至多10 000名军事人员,包括240名军事观察员和200名参谋,以及1 800名警务人员,其中包括1 400名建制警察部队人员和400名警官,此外还有20名惩戒干事。	在上述决议中,安全理事会决定,从2014年9月15日起,中非稳定团最初由至多10 000名军事人员组成,其中包括240名军事观察员和200名参谋,1 800名警务人员,其中包括1 400名建制警察部队人员和400名警官,此外还有20名惩戒干事。
57. The traditions, values and cultural norms of a society provide a very important -- perhaps the most important -- means of sustaining the procedures and structures that ensure responsive, accountable, honest and open government.	57. 一个社会的传统、价值观和文化规范提供了一种非常重要 -- -- 或许是最重要的 -- -- 手段,用以维持程序和结构,确保政府反应灵敏、负责、诚实和开放。	57. 社会的传统、价值观和文化规范提供了一个非常重要 -- -- 也许是最重要的 -- -- 的手段,可以维持各种程序和结构,确保政府反应灵敏、负责、诚实和开放。
Democracy and accountability are among the key indicators for measuring the quality of State administration.	民主和问责制是衡量国家行政质量的关键指标之一。	民主和问责制是衡量国家行政质量的关键指标之一。
A similar pilgrimage planned for 5 and 6 October did not take place owing to the lack of an agreement on the crossing point to be used for the purpose.	原计划于10月5日和6日进行的类似的朝圣活动没有进行,原因是没有就用于该目的的过境点达成协议。	原计划于10月5日和6日进行的类似的朝圣活动没有进行,原因是没有就用于该目的的过境点达成协议。
10. In parallel to this liaison on the ground, UNFICYP police facilitated meetings of the Technical Committee on Crime and Criminal Matters, and the Joint Communications Room continued to work actively, providing the police services of both sides with a forum for enhanced cooperation.	10. 在进行实地联络的同时,联塞部队警察为犯罪和刑事事项技术委员会会议提供了便利,联合通信室继续积极开展工作,为双方警察部门提供加强合作的论坛。	10. 在进行实地联络的同时,联塞部队警察为犯罪和刑事事项技术委员会会议提供了便利,联合通信室继续积极开展工作,为双方警察部门提供一个加强合作的论坛。
In its report, the Office noted that, notwithstanding the reduction in the number of marines and their dependants relocating to Guam, the Department had not revalidated the public infrastructure requirements based on the revised realignment plan or differentiated between the requirements needed to address long-standing conditions and those relating to the realignment.	监督厅在其报告中指出,尽管迁至关岛的海军陆战队陆战队及其受扶养人人数有所减少,但该部没有根据订正调整计划重新确认公共基础设施需求,也没有区分满足长期条件和与调整有关的需求。	该厅在其报告中指出,尽管迁往关岛的海军陆战队陆战队及其受扶养人人数有所减少,但该部没有根据订正调整计划重新确认公共基础设施需求,也没有区分满足长期条件和与调整有关的需求。
In 2014, the Joint Programme partnered with the MAC AIDS Fund in a global campaign to increase knowledge of HIV serostatus among young people, leveraging the influence of international performing artists.	2014年,联合方案与MAC艾滋病基金合作,开展全球运动,利用国际表演艺术家的影响力,提高青年人对艾滋病毒血清状况的认识。	2014年,联合方案与MAC艾滋病基金合作,开展全球运动,利用国际表演艺术家的影响力,增加青年人对艾滋病毒血清状况的了解。
Its content and the views expressed herein are those of the author and group, and do not imply any expression of opinion on the part of the United Nations.	其内容和其中表达的意见是作者和群体的意见,并不意味着联合国表示任何意见。	其内容和在这里表达的意见是作者和群体的意见,并不意味着联合国表示任何意见。
Several sources note, for example, that within the increasingly complex and uncertain domain of the public sector, building trust results from an ongoing, multifaceted relationship between government and other governance actors.	例如,若干来源指出,在公共部门日益复杂和不确定的领域内,政府和其他治理行为体之间持续的多方面关系导致建立信任。	例如,有几个资料来源指出,在公共部门日益复杂和不确定的领域中,政府和其他治理行为体之间持续、多方面的关系产生了建立信任的结果。
6. Representatives of the intergovernmental groupings, the President of the World Bank Group, the Managing Director of the International Monetary Fund, the Director-General of the World Trade Organization and the heads of the United Nations system may also be included in the list of speakers for the plenary meetings of the summit.	6. 政府间集团的代表、世界银行集团总裁、国际货币基金组织总裁、世界贸易组织总干事和联合国系统首长也可列入首脑会议全体会议的发言名单。	6. 政府间集团的代表、世界银行集团行长、国际货币基金组织总裁、世界贸易组织总干事和联合国系统首长也可列入首脑会议全体会议的发言名单。
2. The hearings will be attended by representatives of non-governmental organizations in consultative status with the Economic and Social Council, civil society organizations, the private sector, major groups and Member States and observers.	2. 具有经济及社会理事会咨商地位的非政府组织、民间社会组织、私营部门、主要群体、会员国和观察员的代表将出席听证会。	2. 具有经济及社会理事会咨商地位的非政府组织、民间社会组织、私营部门、主要群体、会员国和观察员的代表将出席听证会。
On 17 December 2014, 128 High Contracting Parties participated in the Conference of High Contracting Parties to the Fourth Geneva Convention, held at the World Meteorological Organization in Geneva, and adopted by consensus a 10point declaration (see annex).	2014年12月17日,128个缔约方参加了在日内瓦世界气象组织举行的《日内瓦第四公约》缔约国会议,并以协商一致方式通过了10点宣言(见附件)。	2014年12月17日,128个缔约方参加了在日内瓦世界气象组织举行的《日内瓦第四公约》缔约国会议,并以协商一致方式通过了10点宣言(见附件)。
The Parties should be represented at the level of permanent representatives of the permanent missions in Geneva.	双方应以常驻日内瓦代表团常驻代表的级别出席会议。	双方应以常驻日内瓦代表团常驻代表的级别出席会议。
In the field of asset recovery, based on relevant mandates of the Working Group on Asset Recovery of the Conference of the States Parties to the Convention against Corruption, UNODC created a database of the asset recovery focal points designated by States parties.	在资产追回领域,根据《反腐败公约》缔约国会议资产追回工作组的相关任务授权,毒品和犯罪问题办公室创建了缔约国指定的资产追回联络点数据库。	在资产追回领域,根据《反腐败公约》缔约国会议资产追回工作组的相关任务授权,毒品和犯罪问题办公室创建了缔约国指定的资产追回联络点数据库。
In that regard, in the Salvador Declaration, Member States were called upon to establish or strengthen, as appropriate, central authorities fully empowered and equipped to deal with requests for international cooperation in criminal matters.	在这方面,《萨尔瓦多宣言》吁请会员国酌情建立或加强中央机关,赋予其充分权力,并配备其处理刑事事项国际合作请求的能力。	在这方面,《萨尔瓦多宣言》吁请会员国酌情建立或加强中央主管机关,赋予其充分权力,并配备充分的能力,以处理刑事事项国际合作请求。
7. On 11 November, in follow-up to his meeting in August with Iraqi university experts on ground-penetrating radar and topographic techniques, the Minister for Human Rights of Iraq, Mohammed al-Bayati, established joint committees to work on identifying potential grave sites.	7. 11月11日,继他8月与伊拉克大学地面穿透雷达和地形技术专家会晤之后,伊拉克人权部长穆罕默德·巴亚提于11月11日设立了联合委员会,负责确定可能的墓地。	7. 11月11日,继他8月会见伊拉克大学地面穿透雷达和地形技术专家之后,伊拉克人权部长穆罕默德·巴亚提设立了联合委员会,负责确定可能的墓地。
With regard to the search for the national archives, my Deputy Special Representative suggested that the Subcommittee tap into the academic expertise of Iraq and advised that this should be done under the aegis of an international organization with recognized expertise and skills.	关于寻找国家档案的问题,我的副特别代表建议小组委员会利用伊拉克的学术专门知识,并建议应在一个具有公认的专长和技能的国际组织的主持下进行这项工作。	关于寻找国家档案的问题,我的副特别代表建议小组委员会利用伊拉克的学术专门知识,并建议应在一个具有公认专长和技能的国际组织的主持下进行这项工作。
Subject to rule 38, a representative of any State participating in the Conference may at any time move the suspension or the adjournment of the meeting.	在不违反第38条的情况下,参加会议的任何国家的代表可随时提出暂停会议或休会的动议。	在不违反第38条规定的情况下,参加会议的任何国家的代表可随时提出暂停会议或休会的动议。
Prevention of armed conflict	预防武装冲突	预防武装冲突
Stockholm Convention regional and subregional centres for capacity-building and the transfer of technology	《斯德哥尔摩公约》区域和次区域能力建设和技术转让中心	斯德哥尔摩公约区域和次区域能力建设和技术转让中心
1. Takes note of the growing experience of UNICEF in working in countries that have recently transitioned from middle-income to high-income status, as approved by the Executive Board through the approval of country programme documents and multi-country programme documents;	1. 注意到儿童基金会在根据执行局通过核准国家方案文件和多国方案文件而核准的最近从中等收入地位向高收入地位过渡的国家开展工作的日益丰富经验;	1. 注意到儿童基金会通过核准国家方案文件和多国方案文件,在执行局核准的最近从中等收入向高收入地位过渡的国家开展工作的经验日益丰富;
In September-October, UNU-IAS conducted a postgraduate intensive training course specifically designed to contribute to the capacity-building function of IPBES.	9月至10月,联合国大学高研所举办了研究生强化培训课程,专门为科学政策平台的能力建设职能作出贡献。	9月至10月,联合国大学高研所举办了研究生强化培训课程,专门旨在促进科学政策平台的能力建设职能。
Fulfilling the needs of students from developing countries is a particular focus of UNU educational efforts.	满足发展中国家学生的需要是联合国大学教育工作的一个特别重点。	满足发展中国家学生的需要是联合国大学教育工作的一个特别重点。
The National Council of Women Malta urges political parties to rethink their strategies and adopt action plans for recruiting an equal number of women and men as candidates for `winnable seats' and in general, for making party politics more inclusive.	马耳他全国妇女理事会敦促各政党重新考虑其战略,并通过行动计划,以征聘同等数目的妇女和男子作为“赢得席位”的候选人,并普遍提高政党政治的包容性。	马耳他全国妇女理事会敦促各政党重新考虑其战略,并通过行动计划,以征聘同等数目的男女候选人竞选“赢得席位”,并普遍提高政党政治的包容性。
Women in political decision-making Assemblies and Company Boards are still under represented in Malta.	在马耳他,妇女在政治决策大会和公司董事会中的代表性仍然不足。	马耳他妇女在政治决策大会和公司董事会中的代表性仍然不足。
In closing, we reiterate our call on the international community, including the Security Council, to uphold the responsibilities under the Charter of the United Nations, international law and relevant resolutions to address this grave and deepening injustice.	最后,我们再次呼吁国际社会,包括安全理事会,履行《联合国宪章》、国际法和相关决议规定的责任,处理这一严重和日益加深的不公正现象。	最后,我们再次呼吁国际社会,包括安全理事会,坚持履行《联合国宪章》、国际法和相关决议规定的责任,处理这一严重和日益加深的不公正现象。
The occupying forces continue to harass and attack Palestinian children in violent raids on towns, villages and refugee camps, at checkpoints and in peaceful demonstrations and continue to carry out pre-dawn raids on the homes of families, seizing children in the dead of night, intensifying the trauma for both child and parents.	占领军继续在暴力袭击城镇、村庄和难民营、检查站以及和平示威中骚扰和袭击巴勒斯坦儿童,并继续在黎明前袭击家庭住宅,抓获夜间死亡儿童,加重儿童和父母的创伤。	占领军继续在暴力袭击城镇、村庄和难民营、检查站以及和平示威中骚扰和袭击巴勒斯坦儿童,并继续在黎明前袭击家庭住宅,抓获夜间死亡儿童,加重儿童和父母的创伤。
The members of the Parliamentary Commission are deputies from the legislature, members of the Senate of the Oliy Majlis and representatives of leading and authoritative non-governmental organizations, other civil society institutions and the ministries of justice and finance.	议会委员会成员包括来自立法机构的代表、议会参议院成员、主要和权威非政府组织、其他民间社会机构、司法部和财政部的代表。	议会委员会成员包括来自立法机构的众议员、议会参议院议员、主要和权威非政府组织、其他民间社会机构、司法部和财政部的代表。
As for the activities of political parties, four officially registered political parties were already operating in independent Uzbekistan on 1 January 2000 after the collapse of the old one-party system and, following the nationwide elections, their representatives became members of the national parliament.	至于政党的活动,2000年1月1日,在旧的一党制崩溃之后,四个正式登记的政党已经在独立的乌兹别克斯坦开展活动,在全国选举之后,它们的代表成为国家议会议员。	至于政党的活动,2000年1月1日,在旧的一党制崩溃之后,四个正式注册的政党已经在独立的乌兹别克斯坦开展活动,在全国选举之后,它们的代表成为国家议会议员。
Area (g): Complaints and independent inspection	(g) 领域:投诉和独立检查	领域(g):投诉和独立检查
Legislative provisions on tax breaks and other preferential rates for mandatory payments are an important factor in ensuring the financial stability of nongovernmental organizations.	关于免税和其他强制性付款优惠税率的法律规定是确保非政府组织财政稳定的一个重要因素。	有关免税和其他强制性付款优惠税率的法律规定是确保非政府组织财政稳定的一个重要因素。
First, the processing of media information on crime is based on short-term, fast-paced and "surface-level" research, which can limit the types of information disseminated and disregard crucial issues.	首先,媒体犯罪信息的处理以短期、快速和“地面”研究为基础,这可以限制传播的信息类型,忽视关键问题。	首先,媒体犯罪信息的处理以短期、快速进度和“地面”研究为基础,这可以限制所传播信息的类型,忽视关键问题。
We welcome improved access to educational establishments for indigenous girls, adolescents and young women aged 6 to 22.	我们欢迎为6至22岁的土著女孩、青少年和年轻妇女增加进入教育机构的机会。	我们欢迎土著女孩、青少年和6至22岁年轻妇女进入教育机构的机会得到改善。
During the reporting period, two more States, Lesotho and Malawi, submitted their initial reports on the implementation of the resolution, bringing the total number of national implementation reports provided by States to 173.	在本报告所述期间,又有莱索托和马拉维两个国家提交了关于该决议执行情况的初次报告,从而使各国提交的国家执行报告总数达到173份。	在本报告所述期间,又有莱索托和马拉维两个国家提交了关于该决议执行情况的初次报告,使各国提交的国家执行报告总数达到173份。
